Tanggal;Waktu;Depok;Manggarai;Katulampa
02/10/2023;07:00;59;562;10
02/10/2023;08:00;61;578;10
02/10/2023;09:00;63;614;10
02/10/2023;10:00;63;600;10
02/10/2023;11:00;64;622;10
02/10/2023;12:00;64;685;10
02/10/2023;13:00;64;687;10
02/10/2023;14:00;64;699;10
02/10/2023;15:00;64;689;10
02/10/2023;16:00;63;665;10
02/10/2023;17:00;63;671;10
02/10/2023;18:00;62;663;10
02/10/2023;19:00;62;655;10
02/10/2023;20:00;61;650;10
02/10/2023;21:00;61;658;10
02/10/2023;22:00;60;660;10
02/10/2023;23:00;60;673;10
03/10/2023;00:00;59;681;10
03/10/2023;01:00;59;689;10
03/10/2023;02:00;59;693;10
03/10/2023;03:00;59;697;10
03/10/2023;04:00;59;694;10
03/10/2023;05:00;60;685;10
03/10/2023;06:00;60;673;10
